customer,order,names,region,item,units,price
2630120,6615957,John,west,paper,236,820
1928229,1631195,Nick,west,paper,186,450
8703733,3332001,Ben,central,binder,789,650
4508368,9651099,Richard,central,pens,948,551
6895053,6691904,Richard,east,paper,453,548
1018357,1437828,Ben,central,pens,954,640
2697132,9866065,Nick,central,paper,696,353
3027058,9130952,Aaron,east,binder,138,223
2073981,9141578,Ben,west,paper,325,422
6076983,4238099,Nick,central,paper,134,344
5316851,8121173,John,west,pens,825,954
9962221,1977268,Aaron,central,paper,557,557
5398147,6367649,John,east,paper,532,566
3864861,4066176,Aaron,west,binder,381,199
9821733,9512218,Aaron,east,pens,466,583
2940832,3210755,John,central,binder,119,616
1799654,4468679,John,west,paper,622,300
6729716,9309020,Ben,west,binder,948,623
7280784,8332358,Ben,west,paper,279,225
6674887,1613599,Ben,west,paper,221,427
7863449,7505176,John,east,pens,218,890
3609656,4698495,Ben,west,pens,196,563
7592925,7749241,Richard,central,pens,339,498
8875502,3067891,Nick,west,binder,927,260
5286002,2341849,Richard,east,paper,801,965
5051433,5163955,Richard,east,pens,393,798
5699284,9868416,Ben,west,paper,280,750
7043309,2474609,Nick,east,paper,147,353
7151204,8237679,Nick,west,binder,664,620
9170699,9080335,John,east,binder,221,626
6321713,5514052,John,east,pens,306,410
7448969,6503473,Aaron,central,binder,293,274
4549509,6654647,Richard,west,paper,918,868
9453682,1636058,Aaron,central,pens,976,280
5335378,5838107,Richard,west,binder,699,220
1392828,7208028,Richard,west,binder,182,786
9697042,1346679,John,west,pens,238,212
1451047,4435497,Richard,west,binder,365,718
3594849,8554543,Ben,west,paper,945,127
3867317,2521725,John,east,pens,842,270
4558641,1050934,Nick,west,paper,605,286
4619372,7948476,Ben,east,pens,512,682
2026276,4485732,Ben,east,binder,795,857
2719065,5068010,Richard,east,pens,289,436
1391907,2041945,John,west,pens,917,627
1868539,2325194,Ben,west,binder,579,190
4108552,8039195,John,west,paper,271,808
1046194,5168931,Nick,central,pens,513,693
8301946,2956675,Richard,east,binder,567,761
9055248,5868755,Richard,west,binder,232,219
3874847,1563078,Ben,east,paper,706,611
8616293,5952825,Ben,east,paper,665,683
4657692,8199620,Nick,west,binder,570,961
2937477,1920961,Nick,central,paper,121,799
2902393,7232627,Richard,central,paper,873,145
2801703,7954307,Nick,central,pens,581,550
1579315,4808019,John,central,pens,646,138
5104644,4471392,Aaron,central,paper,839,524
8117338,8816269,Aaron,east,binder,795,481
4292715,5144317,Nick,central,binder,639,451
9574437,7149165,Nick,east,pens,474,510
1286942,6788174,Ben,west,binder,836,742
7914658,1253557,John,central,binder,586,662
3610539,8287938,John,west,paper,170,416
9691626,7703325,Ben,west,binder,292,794
7773380,3324706,Ben,central,paper,372,558
9560196,7923059,Nick,east,pens,727,181
8331616,6920131,Ben,east,pens,262,530
2169243,8424174,Ben,east,paper,988,668
9149901,1420867,Richard,east,pens,310,693
1952779,4474360,Aaron,east,paper,333,782
9247917,9273201,Nick,east,pens,790,519
1899785,2109114,Ben,east,pens,476,668
7856754,2280721,Ben,east,paper,124,746
2105839,5509421,Nick,central,pens,379,716
3515994,1988786,Aaron,central,pens,599,712
6461676,7340276,John,central,pens,920,190
7276182,1076975,Aaron,central,binder,927,840
2152277,2696815,Aaron,east,binder,685,812
5527535,5810406,Aaron,west,pens,542,337
8463126,2974927,Richard,central,paper,678,133
7173049,8681162,Nick,central,paper,506,847
8719679,5690117,Nick,central,pens,230,578
9617614,9591048,Richard,east,paper,913,301
3377423,3798798,Ben,east,paper,769,947
8451040,1070835,Richard,east,pens,418,508
8332099,8158160,Ben,west,binder,657,577
6570058,4061390,Aaron,west,binder,406,426
4080314,8616824,Aaron,central,pens,797,221
4375686,4191217,John,west,binder,734,550
2386825,6043101,Nick,east,binder,524,491
3272868,2159803,Ben,central,paper,523,601
5116646,6224073,Richard,central,binder,531,529
9699564,8448356,Richard,west,paper,706,241
8484139,1132006,Aaron,central,binder,241,516
3612660,7468263,Richard,east,binder,437,107
5732816,1145162,John,central,paper,289,420
3484603,6390384,Nick,west,binder,112,242
2040436,2378152,Richard,west,binder,990,590
